Id,Nom,Adresse,Description,Public,Website,Téléphone,Catégorie1,Catégorie2,Catégorie3,Catégorie4,Catégorie5,Catégorie6,Catégorie7
943,Bains-Douches B.Delessert,"13, rue B. Delessert 69007 Lyon","Pour des raisons de sécurité, les travaux d’accessibilité entrepris aux bains douches B. DELESSERT depuis le 6 septembre 2021, vont devoir se poursuivre sur un mode de fermeture partielle jusqu’au 10 janvier 2022.

L’organisation reste donc inchangée :

 -          Ouverture 2 jours par semaine : le lundi et le vendredi dans les horaires habituels ( 7H30 – 17H30)

 -          Fermeture 3 jours par semaine : le mardi, mercredi et jeudi

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf",Tout public,,04 78 72 69 01,6,42,,,,,
946,POINT HYGIÈNE DU CENTRE GABRIEL ROSSET,"3, rue du Père Chevrier 69007 Lyon","Hygiène, douche, douche médicalisée, point santé, collation, vestiaire de dépannage.
Accueil sur prescription d’un travailleur social

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2019-01/Guide%20de%20l%20urgence%20sociale%202019_0.pdf",tout public,,,6,,,,,,
949,Orée AJD,"6, rue d’Auvergne 69002 Lyon","Accompagnement social, domiciliation administrative et retrait des courriers, douche et produits d'hygiène, aide alimentaire (colis) et orientation au restaurant municipal, hébergement d'urgence.

- Les lundis de 13h30 à 16h30
- Les mercredis de 8h30 à 11h30
- Les jeudis de 13h30 à 16h00

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf",Jeunes 18 à 25 ans,,04.78.92.88.11,2,1,43,5,6,42,63
950,Les Amis de la Rue ,"28 bis, rue d’Alsace 69100 Villeurbanne","De septembre à juin :
• Le lundi, le mercredi et le vendredi de 9h30 à 12h30 et le mardi de 14h à 18h : accès aux courriers pour les personnes domiciliées,
Les demandes de domiciliations s'effectuent par entretien téléphonique le jeudi de 9h30 à 12h
• Le lundi, le mercredi et le vendredi de 14h30 à 17h45 ouverture pour l’accès aux douches, entretien du linge et café,


En juillet et août : le lundi, le mercredi et le vendredi de 9h à 12h. 1 vendredi par mois permanence de l’association AIDES pour dépistage des MST.
Un vendredi par mois permanence coiffure avec participation de 50 centimes.

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf",Personne de +25,,04 78 03 55 91,5,3,43,,,,
951,ALIS,"2, petite rue des Feuillants 69001 Lyon","Accueil, domiciliation, accompagnement social, prévention santé, accompagnement vers l’emploi, instruction et suivi RSA.
- Du lundi au jeudi de 9h à 12h30
- Le vendredi de 9h à 11h

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf",Hommes et femmes de plus de 25 ans sans domicile // Habitants en difficultés des 1er et 4e arrondissements,,04 72 10 11 34,5,,,,,,
955,Fondation de l'Armée du Salut ,"131 avenue Thiers, 69006 Lyon ","Produits de première nécessité : vêtements, meubles, équipements ménagers, jouets, livres... 
Participation financière achat à prix fixe restreint. 
Fermé au public le jeudi matin

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf",,,04 78 52 60 80,6,,,,,,
957,Acceuil Saint Vincent de Paul (FNDSA),"10, rue Bellièvre 69005 Lyon","Ouvert toute l’année du lundi au vendredi de 8h30 à 11h. 
Accompagnement social, petit déjeuner (20 cts), repas midi (2€) inscription avant 11h30, douches-lessive. 


Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf
","Hommes, femmes et couples de plus de 25 ans sans domicile fixe",,04 72 40 24 92,6,1,42,43,,,
958,ACCUEIL LA RENCONTRE (Foyer Notre Dame des Sans-Abri),2 rue Pelletier 69004 Lyon ,"Du lundi au vendredi de 9h00 à 13h30
-Accueil et orientation sociale pour hommes, femmes isolés de plus de 25ans. 
-Petit-déjeuner (0.20centimes), repas midi (2 euros inscription avant 11h)
-Douches et lessives 

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon
",Tout public de plus de 25 ans sans domicile fixe,,04 72 07 86 61,6,1,42,43,,,
959,Les Petits Frères des Pauvres ,"38, quai Gailleton 69002 Lyon","Espace pause café, douches et machines à laver disponibles.
Accueil le lundi, mercredi et vendredi de 8h30 à 12h pour les personnes + de 50 ans.

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf",Personnes de + de 50 ans,,04 72 40 05 04 ,6,42,43,,,,
962,C.R.I.J - Centre Régional d'Information Jeunesse,66 cours Charlemagne 69002 LYON,"Formations professionnelles, loisirs, vacances, atelier CV, aides aux projets et à la mobilité, consultations gratuites d’offres de logement et d’emploi, accès internet. 
Ouverture du lundi au jeudi de 10h à 18h, le vendredi de 13h30 à 18h et les mardi, jeudi et vendredi matin sur rendez-vous.",Tout Public,,04 72 77 00 66,5,,,,,,
964,Aria Apus ,"7, place du Griffon 69001 LYON","Accueil et accompagnement avec ou sans hébergement de personnes isolées en difficulté sociale, de personnes concernées par la prostitution et les troubles de l’identité de genre. 

Uniquement sur rendez-vous le mardi et le jeudi de 9h à 13h et de 14h à 17h.
Une permanence téléphonique le lundi, le mardi et le jeudi de 9h à 13h et de 14h à 17h.
Retrait possible du courrier pour les personnes domiciliées le matin sur rendez-vous.
",,,04 72 00 32 90,2,,,,,,
967,MAISON DE RODOLPHE (FNDSA),105 rue Villon 69008 Lyon,"Accueil et accompagnement social, domiciliation, petit déjeuner de 8h à 8h30 (20cts), repas midi de 11h45 à 12h30 (2€), douches, lessive, consigne.

Accueil de jour :
Hommes et femmes isolés, couples de plus de 25 ans 
Du Lundi au vendredi de 7h45 à 15h sauf le mardi de 7h45 à 14h

Pour les demandes de domiciliations:
- Le mardi matin à partir de 9h
- Le vendredi matin à partir de 9h

Pour le retrait du courrier:
- Du lundi au vendredi de 9h à 11h30


Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf

",tout public de + de 25 ans,,04 78 76 35 48,2,1,63,42,5,43,
968,Péniche Accueil LE BALAJO,"37, quai Gailleton 69002 Lyon","Du lundi au jeudi de 14h à 17h (10-12h : accueil sur rdv) : accueil du public dans un espace collectif, référence RSA.  
- Permanence infirmière (PASS) 1 fois par mois le lundi matin
- Coiffeur le mardi après-midi
- Conseil vétérinaire 1 fois par mois le mercredi après-midi


Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf",Hommes et femmes de plus de 18 ans,,04 72 41 72 45,6,3,42,,,,
975,CHRS CLEBERG (Association Alynea),"36 Rue Richelieu, 69100 Villeurbanne",Sur orientation d'un travailleur social.,Orientation 115 / Samu Social 69 / Maison de la Veille Sociale,,04 78 36 24 94,2,,,,,,
986,VIFFIL – SOS FEMMES,"156, cours Tolstoï 69100 Villeurbanne","Aide aux victimes mères/enfants 
Permanence téléphonique : Du lundi au vendredi de 9H30 à 12H30 et de 13H30 à 17H00 sauf jeudi après-midi

Accueil le jeudi de 9h30 à 12h après prise de rendez vous
",mere et enfant,,04 78 85 76 47,2,,,,,,
990,Lyon Cité  FONDATION DE L’ARMÉE DU SALUT,"131, avenue Thiers 69006 Lyon","Repas chaud sur table gratuit sur orientation
Samedi, dimanche et jours fériés de 12h15 à 14h.


Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf",Tout public en difficulté,,04 78 52 60 80,1,,,,,,
999,Croix Rouge Française,"36, rue Garon Duret 69008 LYON","FERME DU 2 AU 20 AOUT
Colis alimentaires après évaluation de la situation - Ouvert les lundi, mercredi, jeudi et vendredi de 9h à 11h",,,04 72 71 02 50,1,,,,,,
1000,Restaurants du cœur,"58 cours Albert Thomas 69008, Lyon",Période hivernale (de décembre à fin mars) et inter-campagne : Mai-juin-mi juillet et de mi-septembre à fin octobre,,,04 78 78 05 05,1,,,,,,
1001,Restaurants du cœur,"35, rue Bichat 69002, Lyon","Distribution de colis alimentaire

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf
",,,04 78 37 94 65,1,,,,,,
1002,Restaurants du cœur,"13 bis rue Girié 69003, Lyon","Distribution de colis alimentaire. 

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf
",,,04 72 91 47 11,1,,,,,,
1003,Restaurants du cœur,19 bis rue Dumont d’Urville 69004 Lyon,"Distribution de colis alimentaire

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf
",,,04 78 30 13 19,1,,,,,,
1004,Restaurants du cœur,18 passage Faugier 69007 Lyon,Distribution de colis alimentaire,,,04 78 58 97 29,1,,,,,,
1007,Restaurants du cœur,26 rue Rosa Parks 69009 Lyon,"Distribution de colis alimentaire 

Certifié par le Guide de l'Urgence Sociale du CCAS de Lyon – https://www.lyon.fr/sites/lyonfr/files/content/documents/2021-01/LYON_GUS_2021.pdf",,,09 81 22 26 36,1,,,,,,
1014,Espace Santé Jeunes ,66 cours Charlemagne 69002 LYON,"Accueil, écoute, informations dans les locaux du CRIJ sur toutes les thématiques de santé. 

Ouvert du lundi au jeudi, sur rendez-vous de 8h30 à 12h30 et de 13h30 à 17h30.
Tous les après-midi de 13h30 à 17h30 sans rendez-vous. ",Jeune de 12 à 25 ans,,04 78 37 52 13,3,,,,,,
