Type,ID,Nom,Adresse,Description,Public,Email,website,Téléphone,Catégorie1,Catégorie2,Catégorie3,Catégorie4,Catégorie5,Date de création
Vêtements/matériel,,Bric à Bike (FNDSA),"17 rue de Gerland, 69007 Lyon","L’Atelier Vélo du Foyer, le Bric à Bike vous accueille pour l’achat de votre nouveau cycle (tarifs entre 10 et 120 euros selon les modèles enfants/adultes).

Vous pouvez également venir faire réparer votre bicyclette ! Enfin, venez  déposer les vélos et pièces dont vous n’avez plus l’utilité.

Horaires d'ouverture : 
Les lundi, mercredi, jeudi et vendredi de 9h30 à 12h00 et de 13h00 à 16h30 / mardi de 13h00 à 16h30. Fermeture le week-end et les jours fériés.",Tout Public,,https://www.fndsa.org/bric-a-brac/atelier-v%C3%A9lo.html,,61,,,,,
Vêtements/matériel,,Bric à Brac - Décines Charpieu (FNDSA),"12 rue Emile Zola, 69150 Décines Charpieu","Vêtements, chaussures, mobilier, loisirs, bibelots… à prix réduits 

Horaires d'ouverture : 
Les lundi, mercredi et jeudi de 14h30 à 18h00 et le premier samedi du mois de 9h30 à 12h30",Tout Public,,https://www.fndsa.org/bric-a-brac/bric-a-brac-decines.html,,61,,,,,
Vêtements/matériel,,Bric à Brac - Oullins (FNDSA),"6 rue Pierre Sémard, 69600 Oullins","Vêtements, chaussures, mobilier, loisirs, bibelots… à prix réduits 

Horaires d'ouverture : 
Les le lundi, le mardi, jeudi et vendredi de 14h30 à 17h30 / Samedi de 9h30 à 12h",Tout Public,,https://www.fndsa.org/bric-a-brac/bric-a-brac-oullins.html,04 72 66 95 02,61,,,,,
Vêtements/Matériel,,Bric à Brac - Villefranche sur Saône (FNDSA),"433 Rue André Desthieux, 69400 Villefranche-sur-Saône","Vêtements, chaussures, mobilier, loisirs, bibelots… à prix réduits 

Horaires d'ouverture : 
Les mardi et jeudi de 14h à 17h et le samedi de 10h à 12h et de 14h à 17h",Tout Public,,https://www.fndsa.org/bric-a-brac/bric-a-brac-villefranche-sur-saone.html,04 63 60 05 38,61,,,,,
Se nourrir,,Croix Rouge St Quentin Fallavier,"19 Rue Bellevue, 38070 St Quentin Fallavier","Boutique solidaire et aide alimentaire 

Horaires d'ouverture :
Distribution alimentaire : Jeudi de 14h à 17h 
Vestiboutique : Mardi de 9h à 11h30 et 14h à 19h 
Depôt de vêtements : Lundi de 13h30 à 16h,  Mardi de 9h à 11h30 et de 14h à 19h, Jeudi de 10h à 17h30",Tout Public,,https://www.croix-rouge.fr/Annuaire/EQUIPE-LOCALE-DE-SAINT-QUENTIN-FALLAVIER,09 50 79 15 36,1,61,,,,
Se nourrir,,Croix Rouge Tarare,"4 Rue Etienne Thomassin Villa Hélène, 69170 Tarare",Boutique solidaire et aide alimentaire ,Tout Public,,https://www.croix-rouge.fr/Annuaire/UNITE-LOCALE-DE-TARARE-THIZY,04 74 89 20 22,1,61,,,,
Se nourrir,,Croix Rouge Vienne,"22 Rue Voltaire, 38200 Vienne","Boutique solidaire et aide alimentaire 

Horaires d'ouverture : 
Aide alimentaire tous les mardis et vendredis de 9h à 12h.
Vestiboutique : les mardis, mercredis et vendredis de 9h à 12h",Tout Public,ul.vienne@croix-rouge.fr,https://isere.croix-rouge.fr/vienne/,04 74 85 21 09,1,61,,,,
S'orienter,,Collectif de Solidarité Etudiante (CSE),"45 Rue Waldeck-Rousseau, 69006 Lyon","Le Collectif vient en aide aux étudiants en leur apportant une aide alimentaire (sur réservation sur leur site internet), matérielle et psychologique. 
",Etudiants,contact@cselyon.org,https://www.cselyon.org/aides,,5,1,,,,
Se nourrir,,DOUST,"116 Avenue Charles de Gaulle, 69160 Tassin-La-Demi-Lune","Association de maraude alimentaire à Tassin La Demi Lune, Lyon et ses environs. Distribution de produits d'hygiène",Tout Public,associationdoust@hotmail.com,https://www.doust.fr/nos-actions-a-lyon/,07 83 17 70 23,1,,,,,
Vetements/Matériel,,Emmaus Mornant,"1 bis Bd du Pilat, 69440 Mornant","Collecte alimentaire sur orientation par un.e travailleur.se social.e et récupération de vêtements et d’objets

Horaires d’ouverture : 
Vente : les mercredis et samedis de 8h30 à 11h45
Récupération : les mercredis et samedis de 8h30 à 11h30
Aide alimentaire : 11 ter rue de la République, les jeudis de 14h à 16h30  
",Tout Public,,https://www.emmaus-mornant.fr/,04 78 56 43 40,61,1,,,,
