Type,ID,Nom,Adresse,Description,Public,Email,website,Téléphone,Catégorie1,Catégorie2,Catégorie3,Catégorie4,Catégorie5,Date de création
,,Association Café d'ANAIS ,15 rue nationale 30000 NIMES,"Espace de vie Sociale - Café social et solidaire - Accueil et animations par et pour les habitants et les associations  - bien être, parentalité, alimentation, développement durable...
Du mardi au vendredi de 10h à 18h + soirées, week end et sorties en fonction du programme.",Tout Public - Familles et publics en situation de précarité,contact@cafe.reseauanais.fr,https://cafe.reseauanais.fr/,06 41 01 41 61,1,5,4,61,6,
,,Association Défi Market,1 bis Place de l'Oratoire 30900 Nîmes,"Epicerie sociale et solidaire, aide alimentaire aux usagers les plus précaires et autres bénéficiaires venant de structures partenaires.
Mardi journée (pas ouvert au public), mercredi journée, jeudi de 15h à 19h et vendredi de 14h à 17h.",,defimarket30@gmail.com, ,06 47 46 71 69,1,,,,,
,,Association HUMANIMES,101 chemin de la cigale 30900 Nîmes,"Humanitaire (maraudes, récupération matériel, colis alimentaires) Mediation jeunes /seniors/aide numérique, lien social, ALSH / soutien scolaire, insertion, ...
Horaires : 10H-12h.   14h 17H.   lundi au vendredi",,humanimes@gmail.com,https://fr-fr.facebook.com/pages/category/Community/Humanimes-Nimes-418502911669673/,06 19 81 90 05.     06 36 95 45 40,3,,,,,
,,Mission Locale Jeunes Nîmes Métropole (MLJNM),"281 chemin du Mas Coquillard - 30000 Nîmes du Siège / GJ - 1000 AV, Maréchal Juin à Nîmes + des permanences dans tous les QPV Nîmes + Territoire couvert Nîmes Métropole avec des Permanences Manduel/Saint Gille/ Marguerittes/Saint Génies/","Accompagnement jeunes16 - 25 ans  - Emploi - Formation - Mobilité - Santé - Social - Justice - Citoyenneté
Horaires : du lundi au vendredi de 08h30 à 16h30 au siège - permanences jours différents.",Jeunes de 16 à 25 ans,accueil@mlinimes.com,http://mlj-nimes.com/,04-66-76-38-00,5,7,,,,
,,Croix Rouge française,3 bis rue de Saint Gilles 30000 Nîmes,Accueil du lundi au vendredi 9h-17 h ( fermé le lundi après-midi),,,https://gard.croix-rouge.fr/nimes/,04 66 84 31 92 ou 06 84 81 82 57,1,,,,,
,,Croix Rouge française - espace Bébé Maman,2160 Chemin des Bachos 30000 Nîmes,"Sur recommandation.
Accueil de jour des familles avec enfants : accès à l'hygiène : lundi et jeudi matin
",Femmes et enfants, ,,04 66 23 27 95,1,61,5,7,,
,,Armée du Salut,4 rue Régale 30000 Nîmes,"Ecoute, orientation, aide aux démarches administratives, dépannage alimentaire d'urgence un mercredi sur deux de 14h30 à 16h30 ( fermeture juillet et aout)",,postenimes@armeedusalut.fr,https://www.armeedusalut.fr/postes/postenimes,04 66 67 23 32,1,5,7,,,
,,APA - Association Protestante d'assistance,2 place de l'Oratoire 30000 Nîmes,"Accueil, vestiaire, distribution alimentaire d'urgence : sur rendez vous.
Horaires : le mardi 8h30-12h et 14h-16h et jeudi et vendredi 8h30-12h
",Accueil inconditionnel,actionsociale@apa30.fr,https://www.apa30.fr/,04 66 58 25 27,1,61,,,,
,,Restaurants du Cœur - Nîmes Est,2 bis du Général Delestraint 30000 Nîmes,Distribution alimentaire de novembre à mars : Lundi et jeudi 8h-11h30 et 13h-16h30, ,ad30.delestraint@restosducoeur.org,https://ad30.restosducoeur.org/,04 66 28 95 45,1,,,,,
,,Relais bébés - Restaurants du Coeur - Nîmes Est,10 rue Arnavielle 30000 Nîmes,Vestiaire et distribution alimentaire du lundi et jeudi de 9h-12h et 13h30-16h,Famille,,,09 51 21 78 87,1,61,,,,
,,Restaurants du Cœur - Nîmes Est,10 rue Arnavielle 30000 Nîmes,Distribution alimentaire de novembre à mars : Lundi et jeudi 8h-11h45 et 13h-16h, ,ad30.nimesarnavielle@restosducoeur.org,https://ad30.restosducoeur.org/,09 83 01 77 76,1,,,,,
,,La Table ouverte,44 rue de Richelieu 30000 Nîmes,"Du 1er octobre au 31 mai : Accueil Café, Douches de 9h à 11h ET Repas de 11h à 12h30 avec participation 1 €
du lundi au vendredi
Du 1er Juin au 30 septembre: 8h30-12h. Vestiaire gratuit mardi et jeudi de 9h-11h",,table.ouverte@wanadoo.fr., ,04 66 67 26 45,1,61,,,,
,,Equipe Saint Vincent de Paul,3 boulevard de Bruxelles 30000 Nîmes,le mardi de 9h-12h et sinon sur rendez vous,,,,04 66 76 14 20,5,,,,,
,,ADEJO ( Groupe SOS Solidarités),1 rue Terraube 30000 Nîmes,"Mise à l'abri avec inscription le matin à 8h30 + 8h30-11h : Accueil, petits déjeuners,douches (9h-10h30), laverie ( jeudi matin sur inscription) 11h30-12h15 : repas 14h-17h30 : accueil, domiciliation, bagagerie, orientation 18h-18h45 : repas",,adejo@groupe-sos.org,https://www.groupe-sos.org/structure/adejo/,04 66 36 70 96,1,5,63,61,42,
,,Saint Vincent de Paul,17 bis rue Enclos Rey 30000 Nîmes,"Friperie : mercredi, jeudi, vendredi et samedi de 14h30 à 17h",,,,,61,,,,,
,,Croix Rouge française- Centre Henry Dunant,178 allée Salvador Dali 30000 Nîmes,Hébergement d'urgence + Consultations généralistes : Du lundi au vendredi de 9h à 12 h - Dentistes : mercredi et vendredi de 9h à 12h et autres spécialités sur rendez vous les après-midi,,,https://pourvous.croix-rouge.fr/centre-de-gerontologie-henry-dunant-mco-ssr,115 ET 04 66 67 08 61,1,2,3,,,
,,Vestiboutique ( Croix Rouge française),9 rue du Mail 30000 Nîmes,"Mardi, mercredi et jeudi 9h-12h et 14h18h",,,,06 65 61 55 42,61,,,,,
