Type,ID,Nom,Adresse,Description,Public,Email,website,Téléphone,Catégorie1,Catégorie2,Catégorie3,Catégorie4,Catégorie5,Date de création
Sanitaires,,Toilettes,Place Velpeau 37000 TOURS,(Attention certaines peuvent être payantes),tout public,,,,40,,,,,
Sanitaires,,Toilettes ,"Avenue Proudhon, 37000 TOURS","(Attention certaines peuvent être payantes) 
À l’entrée du parking des bords de Loire.",tout public,,,,40,,,,,
Sanitaires,,Toilettes ,Place Pierre Gandet 37100 TOURS,(Attention certaines peuvent être payantes),tout public,,,,40,,,,,
Sanitaires,,Toilettes ,117 quai Paul Bert 37100 TOURS,(Attention certaines peuvent être payantes),tout public,,,,40,,,,,
Sanitaires,,Toilettes ,Place de la cathédrale 37000 TOURS,(Attention certaines peuvent être payantes),tout public,,,,40,,,,,
Sanitaires,,Toilettes ,3 rue des Ursulines 37000 TOURS,(Attention certaines peuvent être payantes),tout public,,,,40,,,,,
Sanitaires,,Toilettes ,1-21 Rue Jean Goujon 37000 TOURS,(Attention certaines peuvent être payantes),tout public,,,,40,,,,,
Sanitaires,,Toilettes ,"11-51 Rue de Constantine, 37000 TOURS","(Attention certaines peuvent être payantes)
Voie est.",tout public,,,,40,,,,,
Sanitaires,,Toilettes ,34-32 rue de la Grosse Tour 37000 TOURS,(Attention certaines peuvent être payantes),tout public,,,,40,,,,,
Sanitaires,,Toilettes,16 rue Baleschoux 37000 TOURS,(Attention certaines peuvent être payantes),tout public,,,,40,,,,,
Sanitaires,,Toilettes ,"72 rue Nationale, 37000 TOURS","(Attention certaines peuvent être payantes)
Galerie Nationale.",tout public,,,,40,,,,,
Sanitaires,,Toilettes ,7-25 boulevard Heurteloup 37000 TOURS,(Attention certaines peuvent être payantes),tout public,,,,40,,,,,
Sanitaires,,Toilettes ," Rue Chanoineau, 37000 TOURS","(Attention certaines peuvent être payantes)
Croisement entre boulevard Béranger et rue Chanoineau.",tout public,,,,40,,,,,
Sanitaires,,Toilettes ,"Place du général Leclerc, 37000 TOURS","(Attention certaines peuvent être payantes)
 À l’est contre la gare.",tout public,,,,40,,,,,
Sanitaires,,Toilettes ,7-9 Avenue de Grammont 37000 TOURS,(Attention certaines peuvent être payantes),tout public,,,,40,,,,,
Sanitaires,,Toilettes ,54 rue Roger Salengro 37000 TOURS,(Attention certaines peuvent être payantes),tout public,,,,40,,,,,
