Type,ID,Nom,Adresse,Description,Public,Email,website,Téléphone,Catégorie,Date de création
Gestion administrative,,Relais d'accès aux Droit du TGI de Bordeaux - CDAD,"30 rue des Frères Bonie, 33000 BORDEAUX","Structure d'Accès au Droit du TGI de Bordeaux.
- Vous pourrez obtenir l'aide d'un juriste généraliste, d'un jusriste en droit social ou d'un avocat .
 Les consultations sont sans rendez-vous pour répondre aux situations urgentes.
Horaires :  Ouvert du lundi au vendredi de 14h à 17h.                                                                                                                                                  ",tous publics,,http://www.cdad-gironde.justice.fr/,05 47 33 91 17,5,
Gestion administrative,,CCAS de Bordeaux,"4 rue Claude Bonnier, 33000 Bordeaux","Des permanences quotidiennes d'accueil sans rendez-vous sont proposées chaque jour.

En cas de besoin, les numéros des différents services sont les suivants :
- Secrétariat des travailleurs sociaux : 05 57 89 38 61
- Service d'instruction des prestations sociales : 05 57 89 38 81
- Lieu ressources tels que la médiation, l'orientation, l'information : 05 57 89 38 60
- Information sur les demandes d'aides financières facultatives en cours : 05 57 89 38 88
- Plateforme autonomie seniors (CLIC-MAIA-CTA) : 08 00 62 58 85

Du lundi au vendredi de 9h à 17h.",tous publics,,http://www.bordeaux.fr/p80983/le-ccas,05 56 10 20 30,5,
Gestion administrative,,Accueil Pey Berland - Société Saint Vincent de Paul,"26 rue du Commandant Arnould, 33000 Bordeaux","Retrait du courrier et renouvellement des domiciliations.
Ouvert les mardi et jeudi de 14h30 à 17h30.
",tous publics,,https://www.ssvp.fr/ssvp-de-gironde/,05 56 81 92 18  /  05 56 48 22 07,7,
Gestion administrative,,Centre Régional d'Information Jeunesse Nouvelle Aquitaine - CRIL NA,"125 Cours d'Alsace-et-Lorraine, 33000 Bordeaux","Le CRIJ Nouvelle-Aquitaine a pour vocation de favoriser l’accès des jeunes à l’autonomie en leur fournissant des informations et des services utiles dans leur vie quotidienne.
Elle concerne les domaines suivants : enseignement, formation professionnelle et métiers, emploi, éducation permanente, société et vie pratique, loisirs, vacances, Europe, Etranger, sports.  ",De 0 à 35 ans,,http://www.jeuneabordeaux.fr/,"
05 56 56 00 56",5,
Gestion administrative,,Diaconat de Bordeaux,"32 Rue du Commandant Arnould, 33000 Bordeaux","- Service Photos d'identité : le mercredi matin, 1 euro pour 4 photos.

Ouvert du lundi au jeudi de 9h à 12h30 puis de 14h à 17h.
Vendredi seulement sur RDV.
",tous publics,,http://diaconatbordeaux.fr/,05 56 44 76 17,5,
Gestion administrative,,ASP Auros,"1 Rue Castelnau d'Auros, 33000 Bordeaux","Pour vous aider dans vos démarches administratives et vous faciliter l'accès au droits.

Ouvert également les mardis, mercredis et vendredis de 13h30 à 16h30 SUR RDV.
",tous publics,,,06 09 61 55 88,5,
Gestion administrative,,CALK (Comité d'Animation Lafontaine Kléber),"5 Rue de la Sau, 33000 Bordeaux","Le CALK agit dans l'insertion et la réinsertion des personnes très éloignées de l'emploi.
",Situation régulière,,,05 56 79 24 83,7,
Gestion administrative,,La Maison des Femmes,"27 Cours d'Alsace-et-Lorraine, 33000 Bordeaux","La maison des femmes de Bordeaux est un espace unique, où les femmes quelque soit leur âge, leur situation sociale, économique, personnelle, leur culture, peuvent être reçues pour une écoute attentive, une prise en compte de leur situation et un accompagnement, social, administratif ou juridique (sur rendez-vous selon la situation).
- Permanences d'accueil ""violences faites aux femmes"" les lundis et jeudis de 14h à 17h.
- Permanences d'accueil “insertion” (aide aux démarches administratives, emploi/formation, budget, etc.) les mardis et mercredis de 14 à 17h.

Accueil téléphonique du lundi au vendredi de 10h à 18h
Accueils anonymes, confidentiels et gratuits. - 05 56 51 30 95

Entrée au 11 place du Palais",Femmes,,http://maisondesfemmes.net/,05 56 51 30 95,5,
Gestion administrative,,CIDFF de Bordeaux,"99 rue Goya, 33000 Bordeaux","Des permanences sont accessibles dans différents domaines ( accès au droit, soutien à la parentalité, lutte contre les violences, santé et sexualité, éducation et citoyenneté ou l'emploi et la création d'activité) et sur l'ensemble du territoire de la gironde.
Ouvert du lundi au vendredi de 9h à 13h puis de 14h à 17h ",Femme avec ou sans famille,,https://gironde.cidff.info/,05 56 44 30 30,5,
Gestion administrative,,MDS PMI Bordeaux Centre,"14 rue Potevin, 33000 Bordeaux","- Accompagnement éducatif
- Protection maternelle et infantile
- Aide sociale
","famille, femmes enceinte",,,05 56 44 27 83,5,
Gestion administrative,,MDS PMI Bordeaux Saint-Augustin,"72 bis rue Guillaume Leblanc, 33000 Bordeaux","La MDS ( Maison Départementale de la Solidarité ) de Bordeaux Saint-Augustin, reçoit tout public, sur sa zone géographique d'intervention, et met en oeuvre les missions du Conseil Départemental de la Gironde (accès aux droits, accès aux aides départementales, insertion sociale, accompagnement bénéficiaires RSA, information Logement, soutien éducatif, aides à la famille, missions de protection de l'enfance).
Un accueil est assuré chaque jour, sans rendez vous, par le secrétariat.

La MDS a également un service PMI (Protection Maternelle Infantile), qui reçoit sur rendez-vous (Pédiatre, psychologue, puéricultrices).","famille, femmes enceinte",,,05 56 98 08 18,5,
Gestion administrative,,CAIO,"6 rue Noviciat, 33000 Bordeaux","o L’Accueil
o L’Information
o L’Orientation
o L’Accompagnement
o L’Observation
o L’Ingénierie",tous publics,,,05 56 33 47 80,5,
Gestion administrative,,AIM (Accueil Inter Médiation),"23 rue Calvimont, 33000 Bordeaux","AIM promeut l'insertion et la formation professionnelle dans une approche interculturelle. Volonté du compromis, de la négociation pour tendre vers un processus de décentration et in fine favoriser l'intégration sociale et économique de tous.",dès 16 ans.,,https://www.aim-formation.fr/,05 57 80 21 15,5,
Gestion administrative,,PIMMS Bordeaux,"213 Cours de la Marne, 33000 Bordeaux","Le PIMMS de Bordeaux est un lieu d'accueil ouvert à tous, une interface de médiation entre les habitants et les services publics. Il a pour but de faciliter l'accès aux droits et l'utilisation des services publics.

SUR RDV : lundi, mardi, mercredi, jeudi
SANS RDV : le vendredi : Attention, en raison d'une très forte affluence ce jour-là, nous hiérarchisons les accueils en fonction de l'urgence des situations.",Adultes uniquement,bordeaux@pimms.org,https://www.pimmsdebordeaux.org/,05 56 85 85 45,5,
Gestion administrative,,Mission Locale Bordeaux Avenir Jeunes Antenne Sud,"30 rue Armand Caduc, 33000 Bordeaux","La Mission Locale de Bordeaux propose aux jeunes bordelais de 16 à 25 ans, non scolarisés, prioritairement sans qualification, un accompagnement dans la construction de leur projet professionnel, dans la perspective d’accéder à un emploi
Les jeunes bénéficient d'un suivi personnalisé.
",De 16 à 25 ans,,,05 56 33 63 70,5,
Gestion administrative,,Maison de l'Emploi (PLIE),"127 Avenue Emile Counord, 33000 Bordeaux","Sur RDV uniquement.
Le Plan Local pour l’Insertion et l’Emploi (PLIE) de Bordeaux a pour mission d’insérer dans l’emploi durable ou de faire accéder à une formation qualifiante les Bordelais rencontrant des difficultés dans leur insertion professionnelle.
",dès 25 ans.,,https://www.emploi-bordeaux.fr/,05 57 78 37 37,5,
Gestion administrative,,MDS de Talence,"226 Cours Gambetta, 33000 Bordeaux","Les services de la Maison Départementale de la Solidarité et de l'Insertion de Talence, facilitent l’accès aux droits liés aux difficultés de la vie, accueil et information du public aux heures d'ouverture.
Les services d'accompagnement social, MDSI et PMI de Talence sont soumis à rendez-vous pour une prise en charge individualisée.
",tous publics,,,05 56 80 54 64,5,
Gestion administrative,,Maison de Justice et du Droit de Bordeaux,"2 Place Ravezies, 33000 Bordeaux","Etablissements de proximité qui a pour missions essentielles l'accès au droit, la prévention de la petite et moyenne délinquance, la promotion du règlement amiable des litiges et l'information juridique des victimes d'infraction. Les consultations au sein des MJD ont lieu uniquement sur rendez-vous.
",tous publics,,https://www.bordeaux.fr/o1686&src=sp,05 56 11 27 10,5,
Gestion du quotidien,,Réseau Paul Bert,"2 Rue Paul Bert, 33000 Bordeaux","Réseau Paul Bert, centre social et culturel, reste ouvert pendant cette période de crise sanitaire et s’adapte à la situation actuelle et poursuit donc sa mission très sociale en proposant certains services :

- douches sur rendez-vous
- hammam sur rendez-vous
- machines à laver (et séchoir) sur rendez-vous
- vente à emporter, formule à 5 € : plat / dessert dans des contenants en verre (respect des règles d’hygiène et d’environnement)
- permanence sociale avec assistante sociale sur rendez-vous
- permanence écrivain public sur rendez-vous.

Ouvert du mardi au dimanche de 8h30 à 13h30 puis de 14h30 à 18h00
",tous publics,,https://www.facebook.com/reseau.bert,05 56 79 20 44,1,
Gestion du quotidien,,La Bagagerie,"7 rue Ausone, 33000 Bordeaux","Lieu d'accueil de jour pour les personnes sans domicile stable sur Bordeaux. Bagagerie et douches. 5€ par casier par mois
Ouvert du lundi au vendredi de 9h à 12h puis de 14h à 17h ",tous publics,bagagerie@caio.bordeaux.fr, ,05 56 48 26 12,5,
Gestion du quotidien,,Le 4 de Bordeaux,"118 Rue Héron, 33000 Bordeaux","Dans un esprit de solidarité, l'association propose café, douche, cuisine, vêtements, service de laverie et une "" aide aux papiers"" ou à la pratique du français pour ceux qui en ont besoin.
Ouvert le mardi et jeudi de 9h30 à 17h.",tous publics,,https://www.le4debordeaux.fr/,06 95 50 51 04,6,
Gestion du quotidien,,Bus/Camion du Coeur ,"Capucins - Victoire, 33000 Bordeaux","Collation: sandwichs, boissons chaudes et froides, viennoiseries...

Points de distributions = 1 Meriadeck, 2 La Victoire, 3. Rue Fort Louis, 4 Parking Salinières. Limite de 4 paniers repas par personne.

Changement des horaires : à partir de 19 heures du lundi au vendredi.",tous publics,,,,1,
Gestion du quotidien,,Couscous de l'Amitié,"Place des Capucins, 33000 Bordeaux","Couscous de l'amitié : Distribution d'un couscous chaud à manger sur place ou à emporter.

Participation financière requise : 1€
Présent le samedi de 18h à 21h.",tous publics,,,,1,
Gestion du quotidien,,Bus/Camion du Coeur ,"8 Quai de la Grave, 33000 Bordeaux","Collation: sandwichs, boissons chaudes et froides, viennoiseries...
",tous publics,,,,1,
Gestion du quotidien,,Graines de Solidarité ,"48 rue Kléber, 33000 Bordeaux","Premier contact de préférence et inscription des bénéficiaires et bénévoles sur rendez-vous par téléphone.

Aide alimentaire en faveur des familles et des personnes isolées en situation de grande précarité (conditions de ressources familles).
- Maraudes bi-hebdomadaires : lundis, mercredis de 20h00 à 22h30 (Sainte-Catherine et Gare St Jean)
- Atelier hebdomadaire d’apprentissage du français : samedi 14h/16h, au local
- Accueil des nouvelles familles et du public, renseignements : lundi, mercredi 18h/20h

Participation financière requise : 0,50€ à 6€",tous publics,,http://grainesdesolidarite.org/,06 17 02 74 00.,1,
