id,A actualiser,Date d'actualisation,Nom,Adresse,Public(s) bénéficiaire(s),Description,Email,Téléphone,Site web,Catégorie 1,Catégorie 2,Catégorie 3,Catégorie 4,Catégorie 5,Catégorie 6,Catégorie 7
1717,,1/11/2021,Mission Locale du bassin d'emploi de Rennes - WE KER ,"7, rue de la Parcheminerie 35000 Rennes",Jeunes entre 16 et 25 ans.,"Vous êtes un jeune entre 16 et 25 ans, en vous rendant à la mission locale, vous pourrez bénéficier d'un accompagnement personnalisé vers l'emploi. Vous y trouverez également des réponses à vos questions, si vous avez des besoins de formation, de logement ou de santé.

Horaires : Lundi, Mardi, Mercredi, Vendredi : 9h00–17h30 et Jeudi : 9h-18h30.

Transports : Métro République.",NA,02 99 78 00 78,https://we-ker.org,S'orienter,Se réinsérer,,,,,
,,1/6/2021,Pôle emploi -  Rennes Centre,"22, rue de Redon, 35000 Rennes",Demandeurs d'emploi.,"Votre inscription de demandeur d'emploi à Pôle emploi, vous permettra de toucher vos indemnisations chômage et de bénéficier d'un accompagnement vers l'emploi.

Horaires : Lundi, Mardi, Mercredi, Jeudi, vendredi : 8h30-12h30.

Transports : Métro République.  ",NA,09 72 72 39 49,https://www.pole-emploi.fr/accueil/,Se réinsérer,Se réinsérer,,,,,
,,1/6/2021,Pôle emploi - Rennes Nord,"4, rue René Dumont, 35706 Rennes",Demandeurs d'emploi.,"Votre inscription de demandeur d'emploi à Pôle emploi, vous permettra de toucher vos indemnisations chômage et de bénéficier d'un accompagnement vers l'emploi.

Horaires : Lundi, Mardi, Mercredi, Jeudi, vendredi : 8h30-12h30 ",NA,09 72 72 39 49,https://www.pole-emploi.fr/accueil/,Se réinsérer,Se réinsérer,,,,,
,,1/6/2021,Pole emploi - Rennes Est,"Immeuble, Lotus, 22 rue du Bignon, 35000 Rennes",Demandeurs d'emploi.,"Votre inscription de demandeur d'emploi à Pôle emploi, vous permettra de toucher vos indemnisations chômage et de bénéficier d'un accompagnement vers l'emploi.

Horaires : Lundi, Mardi, Mercredi, Jeudi, vendredi : 8h30-12h30 ",NA,09 72 72 39 49,https://www.pole-emploi.fr/accueil/,Se réinsérer,Se réinsérer,,,,,
,,1/6/2021,Pôle emploi - Rennes Sud ,"2, Bus Avenue des Pays Bas, 35000 Rennes",Demandeurs d'emploi.,"Votre inscription de demandeur d'emploi à Pôle emploi, vous permettra de toucher vos indemnisations chômage et de bénéficier d'un accompagnement vers l'emploi.

Horaires : Lundi, Mardi, Mercredi, Jeudi, vendredi : 8h30-12h30.

Transports : Métro Triangle.",NA,09 72 72 39 49,https://www.pole-emploi.fr/accueil/,S'orienter,Se réinsérer,,,,,
,,1/14/2021,Centre Communal d'Action Sociale (CCAS) - Antenne des Champs Manceaux),"Espace social Le Blosne
1, rue Louis et rené Moine 35000 Rennes","CCAS : Jeunes, personnes en situation de précarité, personnes agées ou handicapées.
","Votre CCAS :
. Accès RSA , Aides financières, Carte Sortir, Gratuité des transports, Carte sortir, Aides aux vacances des enfants, aides pour les personnes âgées et personnes handicapées.

Horaires : Lundi, Mardi*, Mercredi, Jeudi, Vendredi : 8h30-12h30 et 13h30-17h. *Fermé le mardi matin.

Transports :  Bus C3 Arrêt de bus Frères Moine, Métro Clemenceau.",NA,02 23 62 21 76,,S'orienter,Se réinsérer,Se déplacer ,,,,
,,1/14/2021,"Centre Départemental d'Action Social (CDAS) - Antenne des Champs Manceaux)
","15, rue Louis et René Moine, 35000 Rennes","
CDAS : Enfants, jeunes, femmes enceintes, parents,
personnes en situation de précarité, personnes agées ou handicapées.","Votre CDAS :
. Protection maternelle et infantile (PMI),  Soutien à la parentalité, Protection de l’enfance, Lutte contre les exclusions, Solidarité personnes âgées, Centre de vaccination.

Horaires : Du Lundi au Mercredi : 9h - 12h30 et 14h - 17h30, Jeudi : 14h - 17h30, Vendredi :  9h - 12h30
et 14h - 16h30.

Transports : Bus : C3 arrêt Champs Manceaux ",NA,02 99 02 48 88,,S'orienter,Se soigner,S'occuper de soi,,,,
1747,,1/6/2021,Centre Communal d'Action Sociale (CCAS)  et Centre Départemental d'Action Social (CDAS) -  Antennes de Cleunay- Saint Cyr,"25, rue Noël BLAYAU 35000 Rennes","CCAS : Jeunes, personnes en situation de précarité, personnes agées ou handicapées.

CDAS : Enfants, jeunes, femmes enceintes, parents,
personnes en situation de précarité, personnes agées ou handicapées.","Votre CCAS :
. Accès RSA , Aides financières, Carte Sortir, Gratuité des transports, Carte sortir, Aides aux vacances des enfants, aides pour les personnes âgées et personnes handicapées.

Horaires CCAS  : Lundi, Mardi*, Mercredi, Jeudi, Vendredi : 8h30-12h30 et 13h30-17h. *Fermé le mardi matin.

CDAS :
. Protection maternelle et infantile (PMI),  Soutien à la parentalité, Protection de l’enfance, Lutte contre les exclusions, Solidarité personnes âgées, Centre de vaccination.

Horaires CDAS : Du Lundi, Mercredi, Jeudi  : 8h30 - 12h30 et 13h30 - 17h30, Mardi : 13h30 - 17h30, Vendredi :  8h30 - 12h30 et 13h30 - 16h30.

Transports : Bus 56, arrêt Chèques Postaux 9, arrêt Voltaire, Metro  République.
",NA,"Numéro CCAS : 02 99 35 41 90
Numéro CDAS : 02.99.02.20.13",NA,S'orienter,Se soigner,S'occuper de soi,Se réinsérer,Se déplacer,,
,,1/14/2021,"Centre Communal d'Action Sociale (CCAS) et Centre Départemental d'Action Sociale (CDAS) - Antennes du Blosne
","7, boulevard de Yougoslavie 35000 Rennes","CCAS : Jeunes, personnes en situation de précarité, personnes agées ou handicapées.

CDAS : Enfants, jeunes, femmes enceintes, parents,
personnes en situation de précarité, personnes agées ou handicapées.","Votre CCAS :
. Accès RSA , Aides financières, Carte Sortir, Gratuité des transports, Carte sortir, Aides aux vacances des enfants, aides pour les personnes âgées et personnes handicapées.

Horaires CCAS : Lundi, Mardi*, Mercredi, Jeudi, Vendredi : 8h30-12h30 et 13h30-17h. *Fermé le mardi matin.

CDAS :
. Protection maternelle et infantile (PMI),  Soutien à la parentalité, Protection de l’enfance, Lutte contre les exclusions, Solidarité personnes âgées, Centre de vaccination.

Horaires CDAS  : Du lundi au Jeudi : 9h30 - 12h30 et 13h30 - 17h, vendredi : 9h30 - 12h30 et 13h30 - 16h30.

Transports : Métro : Triangle / Le Blosne.",NA,"CCAS : 02 23 62 26 00
CDAS : 02 23 30 10 10",NA,S'orienter,Se soigner,S'occuper de soi,Se réinsérer,Se déplacer,,
1747,,1/14/2021,Centre Communal d'Action Sociale (CCAS) et Centre départemental d'Action Social (CDAS) -  Antennes de  Maurepas,"11, place du Gros Chêne 35000 Rennes","CCAS : Jeunes, personnes en situation de précarité, personnes agées ou handicapées.

CDAS : Enfants, jeunes, femmes enceintes, parents,
personnes en situation de précarité, personnes agées ou handicapées.","Votre CCAS :
. Accès RSA , Aides financières, Carte Sortir, Gratuité des transports, Carte sortir, Aides aux vacances des enfants, aides pour les personnes âgées et personnes handicapées.

Horaires CCAS : Lundi, Mardi*, Mercredi, Jeudi, Vendredi : 8h30-12h30 et 13h30-17h. *Fermé le mardi matin.

Votre CDAS :
. Protection maternelle et infantile (PMI),  Soutien à la parentalité, Protection de l’enfance, Lutte contre les exclusions, Solidarité personnes âgées, Centre de vaccination.

Horaires CDAS : Du Lundi au Mercredi : 8h30 - 12h30 et 14h - 17h30, Jeudi : 13h30 - 17h30, Vendredi :  8h30 - 12h30 et 13h30 - 17h00.  Sur rendez-vous Lundi et Jeudi 8h30-12h30.

Transports : Bus C5 arrêt Gros Chêne ou bus 9 arrêt Saint-Exupéry.",NA,"Numéro CCAS : 02.99.27.48.30
Numéro CDAS : 02.99.27.48.00
",NA,S'orienter,Se soigner,S'occuper de soi,Se réinsérer,Se déplacer,,
