SE SOIGNER,Clinique médicale L' Actuel,"Santé: ITSS, dépenances, gynécologie","1001 boulevard De Maisonneuve Est, bureau 1130, Montréal, H2L 4P9",15145241001,www.cliniquelactuel.ca,info@lactuel.ca,"Hommes, femmes à risque d'ITSS"
SE LOGER,Maison L'Éclaircie de Montréal,"Hébergement, accompagnement, soutien psychosocial, activités culturelles","10375 rue Papineau, Ahuntsic-Cartierville, Montréal, H2B 2A3",15143822760,www.leclaircie.com,leclaircie@videotron.ca,"Hommes, femmes avec problèmes de santé mentale"
S'ORIENTER,Clinique droits devant,"Accompagnement et services juridiques, formation pour intervenants","105 rue Ontario Est, Montréal, H2X 1G9",15146030265,www.cliniquedroitsdevant.org,intervention@cliniquedroitsdevant.org,"Personnes marginalisées, intervenants"
SE LOGER,Rue des Femmes (La),"Centre de jour, hébergement, repas, soutien et accompagnement, logements",1050 rue Jeanne-Mance.Montreal. H2Z 1L7,15142849665,www.laruedesfemmes.org,lcouture@laruedesfemmes.org,"Femmes, statut précaire"
SE LOGER,RHF - Réseau habition femmes,"Hébergement, soutien","1060 avenue de l' Hotêl-de-Ville, appartement 1, Montréal, H2X 3A6",15148759529,,info@rhf1060.org,Femmes 18 ans et plus
S’OCCUPER DE SOI,RAP jeunesse,"Centre de soir, accompagnement et soutien, service d'intervention et travailleurs de rue","10780 rue Laverdure, Ahuntsic-Cartierville, H3L 2L9",15143887336,www.rapjeunesse.org,info@rapjeunesse.org,Jeunes 13 ans et plus
SE NOURRIR,Service de nutrition et d'action communautaire,"Centre de jour, repas, intervenants, ateliers","10780 rue Laverdure, bureau 003, Ahuntsic-Cartierville, Montréal, H3L 2L9",15143856499,www.lesnac.com,info@lesnac.com,"hommes, femmes à faible revenu"
S’OCCUPER DE SOI,CRAN - Centre de recherche et d'aide pour narcomanes,"Centre de jour, santé, désintoxication, soutien psychosocial, suivi","110 rue Prince-Arthur Ouest, Montréal, H2X 1S7",15145276939,www.cran.qc.ca,info.cran@ssss.gouv.qc.ca,Hommes femmes toxicomanes ou avec problèmes de santé
S’OCCUPER DE SOI,Bonsecours,"Centre de jour, hébergement, thérapie de désintoxication, soutien et accompagnement","11130 et 11132 boulevard Pie-IX, Montréal, H1H 4B5",15149358882,www.bonsecours.info,gaetanbriere@bonsecours.info,"Hommes 25 ans et plus, toxicomanes et itinérants ou à risque"
SE LOGER,En marge 12-17,"Centre de jour, de soir et de fin de semaine, hébergement, repas, soutien psychosocial","1151 Alexandre de Sève,Montréal, H2L 2T9",15148497738,www.enmarge1217.ca,hebergement@enmarge1217.ca,"Jeunes 12-17 ans, 16-22 ans (logement social)"
SE NOURRIR,Oeuvre soupe maison (L'),"Repas, vêtements","1170 rue Notre-Dame, Lachine, Montréal, H8S 2C4",15144699954,,soupemaison@videotron.ca,"Hommes, femmes à faible revenu"
SE NOURRIR,Phare de Montréal-Nord (Le),Repas,"11835 boulevard Langelier, Montréal-Nord, H1G 6G6",15143290793,,emmanuel.church@bellnet.ca,"Hommes, femmes"
